local_level_id,local_level_name,district_id
343,Lalitpur Metropolitan City,30
344,Godawari Municipality,30
345,Konjyosom Rural Municipality,30
346,Mahankal Rural Municipality,30
347,Bagmati Rural Municipality,30
348,Chauri Deurali Rural Municipality,31
349,Bhumlu Rural Municipality,31
350,Mandan Deupur Municipality,31
351,Banepa Municipality,31
352,Dhulikhel Municipality,31
353,Panchkhal Municipality,31
354,Temal Rural Municipality,31
355,Namobuddha Municipality,31
356,Panauti Municipality,31
357,Bethanchowk Rural Municipality,31
358,Roshi Rural Municipality,31
359,Mahabharat Rural Municipality,31
360,Khanikhola Rural Municipality,31
361,Umakunda Rural Municipality,32
362,Gokulganga Rural Municipality,32
363,Likhu Rural Municipality,32
364,Ramechhap Municipality,32
365,Manthali Municipality,32
366,Khandadevi Rural Municipality,32
367,Doramba Rural Municipality,32
368,Sunapati Rural Municipality,32
369,Dudhouli Municipality,33
